,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
407,1954,- No. - You are.,Neutral,0,0,0,0,0,0,0,0
408,1956,You're imitating the god-man. It's weird.,disgust,0,0,1,0,0,0,0,0
409,1959,"No, I'm not.",Neutral,0,0,0,0,0,0,0,0
410,1960,- He just did it again! - This is my voice.,Neutral,0,0,0,0,0,0,0,0
411,1969,Are you mocking me?,Neutral,0,0,0,0,0,0,0,0
412,1970,- Are you mocking me? - Stop it. You did it again.,Neutral,0,0,0,0,0,0,0,0
413,1974,- He's trying to copy me. - I need you to stop doing that.,Neutral,0,0,0,0,0,0,0,0
414,1976,- Enough! - He's doing it first.,Neutral,0,0,0,0,0,0,0,0
415,1977,We need to stop Thanos.,Neutral,0,0,0,0,0,0,0,0
416,1979,Which means we need to find out where he's going next.,Neutral,0,0,0,0,0,0,0,0
417,1982,Knowhere.,Neutral,0,0,0,0,0,0,0,0
418,1983,He must be going somewhere.,Neutral,0,0,0,0,0,0,0,0
419,1985,"No, no. Knowhere?",Neutral,0,0,0,0,0,0,0,0
420,1987,It's a place. We've been there. It sucks.,Neutral,0,0,0,0,0,0,0,0
421,1990,"- Excuse me, that's our food. - Not anymore.",joy,0,0,0,0,1,0,0,1
422,1993,"Thor, why would he go to Knowhere?",Neutral,0,0,0,0,0,0,0,0
423,1996,Because for years...,Neutral,0,0,0,0,0,0,0,0
424,1998,the Reality Stone's been safely stored there with a man called the Collector.,anger,1,1,0,0,0,0,0,0
425,2001,"If it's with the Collector, then it's not safe.",joy,0,0,0,0,1,0,0,1
426,2003,Only an idiot would give that man a stone.,anger,1,0,1,0,0,0,0,0
427,2005,- Or a genius. - How do you know...,Neutral,0,0,0,0,0,0,0,0
428,2007,he's not going for one of the other stones?,anger,1,0,0,0,0,0,0,0
429,2009,There are six stones out there.,anger,1,0,0,0,0,0,0,0
430,2012,Thanos already has the Power Stone...,anger,1,0,0,0,0,0,0,0
431,2014,because he stole it last week when he decimated Xandar.,anger,1,0,0,1,0,1,0,0
432,2018,He stole the Space Stone from me...,anger,2,0,0,1,0,1,0,0
433,2020,when he destroyed my ship and slaughtered half my people.,anger,1,1,1,1,0,1,1,0
434,2023,The Time and Mind Stones are safe on Earth. They're with the Avengers.,anger,1,1,0,0,1,0,0,1
435,2026,- The Avengers? - Earth's mightiest heroes.,Neutral,0,0,0,0,0,0,0,0
436,2028,Like Kevin Bacon?,Neutral,0,0,0,0,0,0,0,0
437,2030,He may be on the team. I don't know. I haven't been there in a while.,trust,0,0,0,0,0,0,0,1
438,2032,"As for the Soul Stone, well, no one's ever seen that.",anger,1,0,0,0,0,0,0,0
439,2035,No one even knows where it is.,Neutral,0,0,0,0,0,0,0,0
440,2036,Therefore Thanos can't get it. Therefore he's going to Knowhere.,Neutral,0,0,0,0,0,0,0,0
441,2040,Hence he'll be getting the Reality Stone.,anger,2,0,1,1,0,1,0,0
442,2043,You're welcome.,Neutral,0,0,0,0,0,0,0,0
443,2044,Then we have to go to Knowhere now.,Neutral,0,0,0,0,0,0,0,0
444,2045,Wrong. Where we have to go is Nidavellir.,Neutral,0,0,0,0,0,0,0,0
445,2049,- That's a made-up word. - All words are made up.,trust,0,0,0,0,0,0,0,2
446,2051,Nidavellir is real? Seriously?,trust,0,0,0,0,0,0,0,1
447,2054,That place is a legend.,Neutral,0,0,0,0,0,0,0,0
448,2056,"They make the most powerful, horrific weapons to ever torment the universe.",anger,3,1,2,3,1,2,0,1
449,2060,"I would very much like to go there, please.",Neutral,0,0,0,0,0,0,0,0
450,2062,The rabbit is correct and clearly the smartest among you.,Neutral,0,0,0,0,0,0,0,0
451,2064,Rabbit?,Neutral,0,0,0,0,0,0,0,0
452,2066,Only Eitri the Dwarf can make me the weapon I need.,Neutral,0,0,0,0,0,0,0,0
453,2068,"I assume you're the captain, sir.",trust,0,0,0,0,0,0,0,1
454,2069,You're very perceptive.,Neutral,0,0,0,0,0,0,0,0
455,2071,You seem like a noble leader. Will you join me on my quest to Nidavellir?,trust,0,1,0,0,0,0,0,2
456,2074,"Let me just ask the captain. Oh, wait a second, it's me!",anticipation,0,1,0,0,0,0,0,0
457,2077,- Yeah. I'll go. - Wonderful!,anger,1,0,1,1,1,1,1,1
458,2079,- Except for that I'm the captain. - Quiet.,sadness,0,0,0,0,0,1,0,0
459,2081,- That's my backpack. - Go sit down.,Neutral,0,0,0,0,0,0,0,0
460,2083,"Look, this is my ship.",anticipation,0,1,0,0,0,0,0,0
461,2084,And I'm not goin' to...,Neutral,0,0,0,0,0,0,0,0
462,2087,"Wait, what kinda weapon are we talkin' about here?",anticipation,0,1,0,0,0,0,0,0
463,2089,The Thanos-killing kind.,joy,0,0,0,0,1,0,0,1
464,2091,Don't you think that we should all have a weapon like that?,Neutral,0,0,0,0,0,0,0,0
465,2093,No. You simply lack the strength to wield them.,trust,0,0,0,0,0,0,0,1
466,2095,Your bodies would crumble as your minds collapsed into madness.,fear,1,0,1,2,0,1,0,0
467,2098,Is it weird that I wanna do it even more now?,disgust,0,0,1,1,0,1,0,0
468,2100,"A little bit, yeah.",Neutral,0,0,0,0,0,0,0,0
469,2101,If we don't go to Knowhere and Thanos retrieves another stone...,anger,1,0,0,0,0,0,0,0
470,2104,he'll be too powerful to stop.,anger,2,1,2,2,1,1,0,1
471,2106,- He already is. - I got it figured out.,Neutral,0,0,0,0,0,0,0,0
472,2108,We got two ships and a large assortment of morons.,anticipation,0,1,0,0,0,0,0,0
473,2112,So me and Groot will go with the pirate angel here.,anger,1,1,0,0,1,0,1,1
474,2115,And the morons will go to Knowhere to try to stop Thanos.,Neutral,0,0,0,0,0,0,0,0
475,2118,- Cool? Cool. - So cool.,Neutral,0,0,0,0,0,0,0,0
476,2120,For the record...,Neutral,0,0,0,0,0,0,0,0
