,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
416,1588,What did he do that was so wrong to you?,Neutral,0,0,0,0,0,0,0,0
417,1592,Not a damn thing.,anger,1,0,1,0,0,0,0,0
418,1596,But never say never.,Neutral,0,0,0,0,0,0,0,0
419,1602,It's nice.,Neutral,0,0,0,0,0,0,0,0
420,1603,(STAMMERS) What is?,Neutral,0,0,0,0,0,0,0,0
421,1604,You and Romanoff.,Neutral,0,0,0,0,0,0,0,0
422,1605,"No, we haven't... That wasn't...",Neutral,0,0,0,0,0,0,0,0
423,1607,It's okay.,Neutral,0,0,0,0,0,0,0,0
424,1608,Nobody's breaking any bylaws.,surprise,0,0,0,0,0,0,1,0
425,1610,It's just she's not the most open person in the world.,Neutral,0,0,0,0,0,0,0,0
426,1614,But with you she seems very relaxed.,Neutral,0,0,0,0,0,0,0,0
427,1616,"No. Natasha, she's just... She likes to flirt.",anticipation,0,1,0,0,1,0,1,1
428,1620,"I have seen her flirt, up close.",anticipation,0,1,0,0,1,0,1,1
429,1623,This ain't that.,Neutral,0,0,0,0,0,0,0,0
430,1624,(SCOFFS),anger,1,0,1,0,0,0,0,0
431,1626,"Look,",Neutral,0,0,0,0,0,0,0,0
432,1628,as maybe the world's leading authority,trust,0,0,0,0,0,0,0,1
433,1629,"on waiting too long, don't.",anticipation,0,2,0,0,0,0,0,0
434,1633,You both deserve a win.,anger,1,1,0,0,0,0,0,1
435,1640,"What do you mean ""up close""?",Neutral,0,0,0,0,0,0,0,0
436,1641,(LAUGHING),joy,0,0,0,0,1,0,1,0
437,1643,"- But it's a trick. - No, no, it's much more than that.",surprise,0,0,0,0,0,0,1,0
438,1645,"""Ah, whosoever be he worthy shall haveth the power.""",trust,0,0,0,0,0,0,0,1
439,1649,"Whatever, man! It's a trick. (LAUGHING)",surprise,0,0,0,0,1,0,2,0
440,1651,"Please, be my guest.",Neutral,0,0,0,0,0,0,0,0
441,1654,- Come on. - Really?,Neutral,0,0,0,0,0,0,0,0
442,1655,STARK: Yeah.,trust,0,0,0,0,0,0,0,1
443,1657,"RHODES: Oh, this is going to be beautiful.",joy,0,0,0,0,1,0,0,0
444,1658,"STARK: Clint, you have had a tough week.",sadness,0,0,0,0,0,1,0,1
445,1659,We won't hold it against you if you can't get it up.,anticipation,0,1,0,0,0,0,0,0
446,1661,"- (ALL LAUGHING) - You know I have seen this before, right?",joy,0,0,0,0,1,0,1,0
447,1664,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
448,1666,(LAUGHS) I still don't know how you do it!,joy,0,0,0,0,1,0,1,0
449,1669,"Smell the silent judgment? Please, Stark, by all means.",anger,1,0,1,0,0,0,1,1
450,1673,- (CLEARS THROAT) - HILL: Okay.,Neutral,0,0,0,0,0,0,0,0
451,1674,RHODES: Uh-Oh.,Neutral,0,0,0,0,0,0,0,0
452,1676,Never one to shrink from an honest challenge.,fear,2,0,1,3,1,2,0,1
453,1678,BARTON: Get after it. STARK: It's physics.,trust,0,0,0,0,0,0,0,1
454,1680,BANNER: Physics.,Neutral,0,0,0,0,0,0,0,0
455,1681,"Right, so, if I lift it, I then rule Asgard?",fear,0,0,0,1,0,0,0,1
456,1683,"Yes, of course.",Neutral,0,0,0,0,0,0,0,0
457,1685,I will be reinstituting prima nocta.,Neutral,0,0,0,0,0,0,0,0
458,1688,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
459,1692,I will be right back.,Neutral,0,0,0,0,0,0,0,0
460,1695,- (WHIRRING) - (GRUNTING),Neutral,0,0,0,0,0,0,0,0
461,1699,(STRAINING),Neutral,0,0,0,0,0,0,0,0
462,1701,Are you even pulling?,Neutral,0,0,0,0,0,0,0,0
463,1702,Are you on my team?,trust,0,0,0,0,0,0,0,1
464,1703,Just represent. Pull.,Neutral,0,0,0,0,0,0,0,0
465,1704,"All right, let's go.",Neutral,0,0,0,0,0,0,0,0
466,1706,(YELLING),anger,1,0,0,1,0,0,1,0
467,1713,Huh?,Neutral,0,0,0,0,0,0,0,0
468,1716,"STARK: Go ahead, Steve. No pressure.",trust,0,0,0,0,0,0,0,1
469,1720,"BARTON: Come on, Cap.",anticipation,0,1,0,0,0,0,0,1
470,1727,(SIGHS),Neutral,0,0,0,0,0,0,0,0
471,1730,(LAUGHING) Nothing.,joy,0,0,0,0,1,0,1,0
472,1733,"- (STARK CLEARS THROAT) - BANNER: And, Widow?",sadness,0,0,0,0,0,1,0,1
473,1735,"Oh, no, no. That's not a question I need answered.",Neutral,0,0,0,0,0,0,0,0
