,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1104,4814,"But, uh, it takes practice...",Neutral,0,0,0,0,0,0,0,0
1105,4817,"and, um, dare I say it, talent to do it well.",anticipation,0,1,0,0,0,0,0,1
1106,4821,- Can you turn into a cat? - What's a cat?,Neutral,0,0,0,0,0,0,0,0
1107,4823,What about a filing cabinet?,trust,0,0,0,0,0,0,0,1
1108,4825,Why would I turn into a filing cabinet?,trust,0,0,0,0,0,0,0,1
1109,4828,A Venus flytrap?,Neutral,0,0,0,0,0,0,0,0
1110,4829,I'll give you 50 bucks right now,fear,1,0,1,2,0,1,1,0
1111,4830,if you turn into a Venus flytrap.,Neutral,0,0,0,0,0,0,0,0
1112,4832,Switching engines,Neutral,0,0,0,0,0,0,0,0
1113,4833,"from Scramjet to Fusion. Buckle up, folks.",Neutral,0,0,0,0,0,0,0,0
1114,4845,Hey.,Neutral,0,0,0,0,0,0,0,0
1115,4846,"Is this normal, like, space turbulence?",anger,1,0,0,1,0,0,0,0
1116,4849,Pretty much.,anticipation,0,1,0,0,1,0,0,1
1117,4883,Locking in on coordinate grid.,Neutral,0,0,0,0,0,0,0,0
1118,4886,Where is it?,Neutral,0,0,0,0,0,0,0,0
1119,4891,It's here. It's got to be here.,Neutral,0,0,0,0,0,0,0,0
1120,4893,"Well, is it in front of all that nothing, or behind it?",Neutral,0,0,0,0,0,0,0,0
1121,4904,Decloaking activated.,Neutral,0,0,0,0,0,0,0,0
1122,4969,Is that it? The core?,Neutral,0,0,0,0,0,0,0,0
1123,4971,In her notes she called it the Tesseract.,Neutral,0,0,0,0,0,0,0,0
1124,4980,Whoa.,Neutral,0,0,0,0,0,0,0,0
1125,4982,What was Lawson doing with all this kid stuff?,Neutral,0,0,0,0,0,0,0,0
1126,4998,We're not alone.,Neutral,0,0,0,0,0,0,0,0
1127,5023,Talus!,Neutral,0,0,0,0,0,0,0,0
1128,5034,He didn't come here for the Tesseract.,Neutral,0,0,0,0,0,0,0,0
1129,5059,It's okay.,Neutral,0,0,0,0,0,0,0,0
1130,5066,We didn't know what to do.,Neutral,0,0,0,0,0,0,0,0
1131,5067,Mar-Veil warned us not to send a signal for any reason...,anticipation,0,1,0,1,0,0,1,1
1132,5071,or the Kree would find us.,Neutral,0,0,0,0,0,0,0,0
1133,5073,You did the right thing.,Neutral,0,0,0,0,0,0,0,0
1134,5084,"It's okay, it's okay.",Neutral,0,0,0,0,0,0,0,0
1135,5086,She's all right. She's a friend.,joy,0,0,0,0,1,0,0,1
1136,5090,I am not gonna hurt you.,anger,1,0,0,1,0,1,0,0
1137,5092,She led me to you.,Neutral,0,0,0,0,0,0,0,0
1138,5095,I'm so sorry.,Neutral,0,0,0,0,0,0,0,0
1139,5098,I didn't know.,Neutral,0,0,0,0,0,0,0,0
1140,5099,Carol.,joy,0,0,0,0,1,0,0,1
1141,5101,This is war.,fear,0,0,0,1,0,0,0,0
1142,5104,"My hands are filthy from it, too.",disgust,0,0,1,0,0,0,0,0
1143,5108,But we're here now.,Neutral,0,0,0,0,0,0,0,0
1144,5110,You found my family.,Neutral,0,0,0,0,0,0,0,0
1145,5116,This is just the beginning.,Neutral,0,0,0,0,0,0,0,0
1146,5118,There are thousands of us separated from each other...,Neutral,0,0,0,0,0,0,0,0
1147,5122,scattered throughout the galaxy.,Neutral,0,0,0,0,0,0,0,0
1148,5143,If I played the same pinball machine for six years...,trust,0,0,0,0,0,0,0,1
1149,5145,"I'd have some high scores, too.",anticipation,0,1,0,0,1,0,1,0
1150,5150,Fraternizing with the enemy?,anger,1,0,1,1,0,0,0,0
1151,5152,Uh-uh.,Neutral,0,0,0,0,0,0,0,0
1152,5165,What did you do to your uniform?,Neutral,0,0,0,0,0,0,0,0
1153,5167,They got in her head. Just like we thought.,Neutral,0,0,0,0,0,0,0,0
1154,5170,The Supreme Intelligence will set her straight.,fear,0,0,0,1,1,0,0,1
1155,5172,You can see they're not soldiers.,anger,1,0,0,0,0,1,0,0
1156,5173,Let 'em go. You can have me.,Neutral,0,0,0,0,0,0,0,0
1157,5176,And the core?,Neutral,0,0,0,0,0,0,0,0
1158,5177,You lied to me.,anger,1,0,1,0,0,1,0,0
1159,5179,I made you the best version of yourself.,Neutral,0,0,0,0,0,0,0,0
1160,5186,What's given can be taken away.,Neutral,0,0,0,0,0,0,0,0
1161,5203,"Back here! Move, move!",Neutral,0,0,0,0,0,0,0,0
1162,5204,Get over here. Get down!,Neutral,0,0,0,0,0,0,0,0
1163,5207,"Let's go! Go, move!",Neutral,0,0,0,0,0,0,0,0
1164,5249,There she is.,Neutral,0,0,0,0,0,0,0,0
1165,5251,Seems like your time on 0-53 jogged the old memory.,anticipation,0,1,0,0,0,0,0,0
1166,5255,This jacket.,Neutral,0,0,0,0,0,0,0,0
1167,5257,"It's killer, by the way.",Neutral,0,0,0,0,0,0,0,0
1168,5261,Oh.,Neutral,0,0,0,0,0,0,0,0
1169,5262,The music. It's a nice touch.,joy,0,0,0,0,1,1,0,0
1170,5264,Let me out.,Neutral,0,0,0,0,0,0,0,0
1171,5266,No can do.,Neutral,0,0,0,0,0,0,0,0
1172,5268,"If you hurt them, I will burn you to the ground.",anger,1,0,0,1,0,1,0,0
1173,5272,With what exactly?,Neutral,0,0,0,0,0,0,0,0
1174,5274,Your power comes from us.,Neutral,0,0,0,0,0,0,0,0
1175,5275,You didn't give me these powers.,Neutral,0,0,0,0,0,0,0,0
1176,5277,The blast did.,anger,1,0,0,1,0,0,1,0
1177,5278,"And yet, you've never had the strength",trust,0,0,0,0,0,0,0,1
1178,5280,to control them on your own.,Neutral,0,0,0,0,0,0,0,0
1179,5292,Species: Flerken.,Neutral,0,0,0,0,0,0,0,0
1180,5294,<i>Threat: high.</i>,Neutral,0,0,0,0,0,0,0,0
1181,5301,It's a cat' not Hannibal Lecter.,Neutral,0,0,0,0,0,0,0,0
1182,5307,Species: <i>human</i> male.,Neutral,0,0,0,0,0,0,0,0
1183,5308,<i>Threat: low to none.</i>,Neutral,0,0,0,0,0,0,0,0
1184,5312,That thing's clearly busted.,Neutral,0,0,0,0,0,0,0,0
1185,5313,Load the Flerken onto the Helion.,Neutral,0,0,0,0,0,0,0,0
1186,5316,Eject the others into space.,Neutral,0,0,0,0,0,0,0,0
1187,5321,"You did good, Ace.",anticipation,0,1,0,0,1,0,1,1
1188,5324,Thanks to you...,Neutral,0,0,0,0,0,0,0,0
1189,5326,those insidious shapeshifters,anger,1,0,1,1,0,0,0,0
1190,5328,will threaten our borders no more.,anger,1,1,0,1,0,0,0,0
1191,5329,I used to believe your lies...,anger,1,0,1,0,0,1,0,0
1192,5332,but the Skrulls are just fighting for a home.,anger,1,0,0,1,0,0,0,0
1193,5335,You're talking about destroying them,Neutral,0,0,0,0,0,0,0,0
1194,5336,because they won't submit to your rule.,anticipation,0,2,0,1,0,0,0,1
1195,5338,And neither will I.,Neutral,0,0,0,0,0,0,0,0
1196,5339,We found you. We embraced you as our own.,anticipation,0,1,0,0,1,0,1,1
1197,5343,You stole me.,anger,1,0,0,1,0,1,0,0
1198,5344,"From my home, my family, my friends.",Neutral,0,0,0,0,0,0,0,0
1199,5355,It's cute how hard you try.,Neutral,0,0,0,0,0,0,0,0
1200,5359,But remember...,Neutral,0,0,0,0,0,0,0,0
1201,5362,without us...,Neutral,0,0,0,0,0,0,0,0
1202,5363,"Give it up, Carol.",joy,0,0,0,0,1,0,0,1
1203,5366,<i>Stay down!</i>,Neutral,0,0,0,0,0,0,0,0
1204,5368,...you're weak.,Neutral,0,0,0,0,0,0,0,0
1205,5369,<i>You're going too fast! You need to go slow!</i>,Neutral,0,0,0,0,0,0,0,0
1206,5371,You're flawed.,sadness,0,0,0,0,0,1,0,0
1207,5373,<i>Are you trying to kill yourself?</i>,fear,0,0,0,1,0,1,0,0
1208,5375,Helpless.,fear,0,0,0,1,0,1,0,0
1209,5376,<i>You're too emotional and so weak.</i>,Neutral,0,0,0,0,0,0,0,0
1210,5377,<i>You don't belong out here!</i>,Neutral,0,0,0,0,0,0,0,0
1211,5379,We saved you.,joy,0,0,0,0,1,0,0,1
1212,5381,"- Control it. <i>- I</i> told you,",Neutral,0,0,0,0,0,0,0,0
1213,5383,- Carol. - They'll never,joy,0,0,0,0,1,0,0,1
1214,5384,<i>- let you fly. - This ain't</i>,Neutral,0,0,0,0,0,0,0,0
1215,5385,<i>- a game for little girls. - You kiss like a horse.</i>,anticipation,0,1,0,0,1,0,1,0
1216,5386,"<i>You won't last a week, Danvers'</i>",anticipation,0,1,0,0,0,0,0,0
1217,5390,"Without us, you're only human.",Neutral,0,0,0,0,0,0,0,0
1218,5395,You're right.,Neutral,0,0,0,0,0,0,0,0
1219,5397,I'm only human.,Neutral,0,0,0,0,0,0,0,0
1220,5433,"<i>On Have, you were reborn...</i>",Neutral,0,0,0,0,0,0,0,0
1221,5437,<i>Vers.</i>,Neutral,0,0,0,0,0,0,0,0
