,secs_stamp,text,max_sentiment,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1791,5599,(GASPS),surprise,0,0,0,0,0,0,1,0
1792,5602,"It is an honour, Mr President.",trust,0,0,0,0,0,0,0,1
1793,5605,"If you're gonna do it, do it!",Neutral,0,0,0,0,0,0,0,0
1794,5607,"Whoa! Cool your boots, sir.",trust,0,0,0,0,0,0,0,1
1795,5609,That's not how the Mandarin works.,trust,0,0,0,0,0,0,0,1
1796,5611,"Sir, Air Force One has been compromised.",anger,1,0,0,1,0,0,0,1
1797,5613,"Internal shots, temperature spikes.",fear,0,0,0,1,0,0,0,0
1798,5615,Get me eyes on it now.,Neutral,0,0,0,0,0,0,0,0
1799,5617,"Image coming through now, sir.",trust,0,0,0,0,0,0,0,1
1800,5621,Was that Rhodes?,Neutral,0,0,0,0,0,0,0,0
1801,5632,(BANGING) MAN: - Is anyone there?,anger,1,0,1,1,0,1,1,0
1802,5634,WOMAN: Let us out!,Neutral,0,0,0,0,0,0,0,0
1803,5642,(GROANING),disgust,0,0,1,0,0,1,0,0
1804,5651,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
1805,5652,TONY: The President.,trust,0,0,0,0,0,0,0,1
1806,5654,Now.,Neutral,0,0,0,0,0,0,0,0
1807,5655,He's not here.,Neutral,0,0,0,0,0,0,0,0
1808,5658,(ELECTRICAL CRACKLING) (MECHANISMS GRINDING),Neutral,0,0,0,0,0,0,0,0
1809,5659,(GROANING SOFTLY),disgust,0,0,1,0,0,1,0,0
1810,5660,Try the jet stream?,Neutral,0,0,0,0,0,0,0,0
1811,5663,"Speaking of which, go fish.",Neutral,0,0,0,0,0,0,0,0
1812,5668,(PEOPLE SCREAMING),anger,1,0,1,1,0,0,1,0
1813,5670,(SCREAMS),anger,1,0,1,1,0,0,1,0
1814,5674,(ALL SCREAMING),anger,1,0,1,1,0,0,1,0
1815,5680,(METAL CREAKING),Neutral,0,0,0,0,0,0,0,0
1816,5682,(POWERING UP) (TONY GRUNTING),Neutral,0,0,0,0,0,0,0,0
1817,5687,(COUGHS),disgust,0,0,1,0,0,0,0,0
1818,5688,"Walk away from that, you son of a bitch.",anger,1,0,1,1,0,1,0,0
1819,5692,(ALL SCREAMING),anger,1,0,1,1,0,0,1,0
1820,5699,(SCREAMING),anger,1,0,1,1,0,0,1,0
1821,5703,How many in the air?,Neutral,0,0,0,0,0,0,0,0
1822,5704,"JARVIS: <i>Thirteen, sir.</i>",Neutral,0,0,0,0,0,0,0,0
1823,5707,"- How many can I carry? JARVIS: - Four, sir.",trust,0,0,0,0,0,0,0,1
1824,5719,"Slow down. Slow down, relax. What's your name? Heather?",Neutral,0,0,0,0,0,0,0,0
1825,5721,(SCREAMING),anger,1,0,1,1,0,0,1,0
1826,5725,(SHRIEKING),anger,1,0,0,1,0,1,1,0
1827,5728,"HEATHER: Oh, God! No! No!",anticipation,0,1,0,1,1,0,0,1
1828,5731,TONY: Listen to me. See that guy?,Neutral,0,0,0,0,0,0,0,0
1829,5733,"I'm gonna swing by, you're just gonna grab him.",anger,1,0,0,0,0,0,0,0
1830,5735,- You got it? - What? Oh!,Neutral,0,0,0,0,0,0,0,0
1831,5738,(HEATHER RESUMES SCREAMING),anger,1,0,1,1,0,0,1,0
1832,5739,"I'll electrify your arm, you won't be able to open your hand.",anger,1,1,1,1,0,1,0,0
1833,5744,"We can do this, Heather.",Neutral,0,0,0,0,0,0,0,0
1834,5745,(HEATHER WHIMPERING),fear,0,0,0,1,0,1,0,0
1835,5754,"Easy, see? Eleven more to go.",Neutral,0,0,0,0,0,0,0,0
1836,5758,(SCREAMING),anger,1,0,1,1,0,0,1,0
1837,5759,Remember that game called Barrel of Monkeys?,Neutral,0,0,0,0,0,0,0,0
1838,5762,That's what we're going to do.,Neutral,0,0,0,0,0,0,0,0
1839,5763,"JARVIS: <i>18,000 feet.</i>",Neutral,0,0,0,0,0,0,0,0
1840,5764,"Come on, people. Everybody, grab your monkey.",anger,1,0,0,0,0,0,0,0
1841,5770,Nice.,Neutral,0,0,0,0,0,0,0,0
1842,5772,"JARVIS: <i>10,000 feet.</i>",Neutral,0,0,0,0,0,0,0,0
1843,5774,(YELLING),anger,1,0,0,1,0,0,1,0
1844,5777,"<i>6,000 feet.</i>",Neutral,0,0,0,0,0,0,0,0
1845,5779,"Come on, people.",Neutral,0,0,0,0,0,0,0,0
1846,5781,"Come on, come on, come on!",Neutral,0,0,0,0,0,0,0,0
1847,5786,Yeah!,Neutral,0,0,0,0,0,0,0,0
1848,5787,"JARVIS: <i>1,000 feet.</i>",Neutral,0,0,0,0,0,0,0,0
1849,5790,<i>400 feet.</i>,Neutral,0,0,0,0,0,0,0,0
1850,5792,"<i>200 feet, sir.</i>",Neutral,0,0,0,0,0,0,0,0
1851,5793,"TONY: He's a chunky monkey, let's get him.",Neutral,0,0,0,0,0,0,0,0
1852,5795,Hello.,Neutral,0,0,0,0,0,0,0,0
1853,5797,(TONY STRAINING),Neutral,0,0,0,0,0,0,0,0
1854,5816,(PASSENGERS CHEERING),anticipation,0,1,0,0,1,0,1,1
1855,5818,MAN: We made it!,Neutral,0,0,0,0,0,0,0,0
1856,5820,"Nice work, guys!",Neutral,0,0,0,0,0,0,0,0
1857,5821,Excellent. Good team effort all around. Go us.,trust,0,1,0,0,2,0,1,3
1858,5824,"All right, Jarvis.",Neutral,0,0,0,0,0,0,0,0
1859,5825,But it's only half-done. We've still got to get Pepper...,Neutral,0,0,0,0,0,0,0,0
1860,5835,(SIGHING) That came out of nowhere.,Neutral,0,0,0,0,0,0,0,0
1861,5836,Wow.,Neutral,0,0,0,0,0,0,0,0
1862,5838,"Give me some good news, man.",anticipation,0,1,0,0,1,0,1,1
1863,5839,I think they all made it.,Neutral,0,0,0,0,0,0,0,0
1864,5840,"Oh, thank God.",anticipation,0,1,0,1,1,0,0,1
1865,5841,"Yeah, but I missed the president.",trust,0,0,0,0,0,0,0,1
1866,5843,"You couldn't save the president with the suit,",trust,0,0,0,0,1,0,0,2
1867,5845,how are we gonna save Pepper with nothing?,joy,0,0,0,0,1,0,0,1
1868,5847,"Uh... Say, Jarvis, is it that time?",anticipation,0,1,0,0,0,0,0,0
1869,5849,<i>The House Party protocol sir?</i>,Neutral,0,0,0,0,0,0,0,0
1870,5851,Correct.,Neutral,0,0,0,0,0,0,0,0
1871,5880,(GASPS),surprise,0,0,0,0,0,0,1,0
1872,5883,Hi.,Neutral,0,0,0,0,0,0,0,0
1873,5886,(BREATHING HEAVILY),Neutral,0,0,0,0,0,0,0,0
1874,5891,You think he's gonna help you?,Neutral,0,0,0,0,0,0,0,0
1875,5894,He won't.,anticipation,0,1,0,0,0,0,0,0
1876,5900,"Having you here is not just to motivate Tony Stark. It's, um...",trust,0,0,0,0,0,0,0,1
1877,5905,"Well, it's actually more embarrassing than that.",sadness,0,0,0,0,0,1,0,0
1878,5908,"You're here as my, um...",Neutral,0,0,0,0,0,0,0,0
1879,5911,Trophy.,anticipation,0,1,0,0,1,0,1,1
1880,5913,(CHUCKLES) Mmm.,anticipation,0,1,0,0,1,0,1,1
1881,5925,"Good evening, sir.",trust,0,1,0,0,1,0,1,2
1882,5929,(GASPS),surprise,0,0,0,0,0,0,1,0
1883,5931,"Welcome aboard, Mr President.",trust,0,0,0,0,0,0,0,1
1884,5942,KILLIAN: Ever hear of an elephant graveyard?,Neutral,0,0,0,0,0,0,0,0
1885,5944,"Well, two years ago, the elephant in the room was this scow.",Neutral,0,0,0,0,0,0,0,0
1886,5951,This is the <i>Roxxon Norco.</i>,Neutral,0,0,0,0,0,0,0,0
1887,5952,"And, of course, you'll remember",Neutral,0,0,0,0,0,0,0,0
1888,5953,"that when she spilled a million gallons of crude off Pensacola,",disgust,0,0,1,0,0,0,0,0
1889,5956,"thanks to you, not one fat cat saw a day in court.",anger,1,1,1,1,0,1,0,0
1890,5959,What do you want from me?,Neutral,0,0,0,0,0,0,0,0
1891,5962,"Uh, nothing, sir.",trust,0,0,0,0,0,0,0,1
1892,5964,I just needed a reason to kill you that would play well on TV.,fear,0,0,0,1,0,1,0,0
1893,5967,"You see, I've moved on.",Neutral,0,0,0,0,0,0,0,0
1894,5969,"I found myself a new political patron,",trust,0,0,0,0,0,0,0,1
1895,5972,"and this time tomorrow, he'll have your job.",anticipation,1,2,1,1,0,1,0,0
1896,5976,String him up.,Neutral,0,0,0,0,0,0,0,0
1897,5979,Hey!,Neutral,0,0,0,0,0,0,0,0
1898,5987,(MEN SHOUTING INDISTINCTLY),anger,1,0,0,0,0,0,1,0
1899,5997,Come on.,Neutral,0,0,0,0,0,0,0,0
1900,6002,"You're not gonna freak out on me, right?",Neutral,0,0,0,0,0,0,0,0
1901,6004,TONY: I hope not.,anticipation,0,1,0,0,1,0,1,1
1902,6030,"Oh, my God.",anticipation,0,1,0,1,1,0,0,1
1903,6032,"(SIGHS) He's strung up over the oil tanker. They're gonna light him up, man.",Neutral,0,0,0,0,0,0,0,0
1904,6036,Viking funeral. Public execution.,sadness,1,1,0,1,0,2,0,1
1905,6038,"Yeah, death by oil.",anger,1,1,1,1,0,1,1,0
1906,6046,ANNOUNCER: (ON PA) <i>Broadcast will commence shortly.</i>,Neutral,0,0,0,0,0,0,0,0
1907,6048,<i>Take final positions.</i>,Neutral,0,0,0,0,0,0,0,0
1908,6051,Okay. That's good.,anticipation,0,1,0,0,1,0,1,1
1909,6052,Now give me cameras A through E and we'll do a full tech rehearsal.,Neutral,0,0,0,0,0,0,0,0
1910,6056,(TECHNICIAN TYPING),Neutral,0,0,0,0,0,0,0,0
1911,6057,Is your gun up?,anger,1,0,0,1,0,0,0,0
1912,6058,Yep. What do I do?,Neutral,0,0,0,0,0,0,0,0
1913,6060,"Stay on my six, cover high and don't shoot me in the back.",anger,1,0,0,1,0,0,0,1
1914,6063,"Six, high, back. All right.",Neutral,0,0,0,0,0,0,0,0
1915,6065,(GUNFIRE),Neutral,0,0,0,0,0,0,0,0
1916,6071,(BULLETS RICOCHETING),Neutral,0,0,0,0,0,0,0,0
1917,6074,You see that? Nailed it.,Neutral,0,0,0,0,0,0,0,0
1918,6076,"Yeah, you really killed the glass.",fear,0,0,0,1,0,1,0,0
1919,6077,You think I was aiming for the bulb?,Neutral,0,0,0,0,0,0,0,0
1920,6078,You can't hit a bulb at this distance.,anger,1,0,0,0,0,0,0,0
1921,6081,"ANNOUNCER: (ON PA) <i>All personnel, we have hostiles</i>",Neutral,0,0,0,0,0,0,0,0
1922,6083,<i>- on east unit 12.</i> MAN: - Over there!,Neutral,0,0,0,0,0,0,0,0
1923,6084,"<i>- I repeat, hostiles on east unit 12.</i> - I'm out. Give me...",Neutral,0,0,0,0,0,0,0,0
1924,6085,"- You got extra magazines? - They're not universal, Tony.",Neutral,0,0,0,0,0,0,0,0
1925,6088,"I know what I'm doing, I make this stuff. Give me another one.",Neutral,0,0,0,0,0,0,0,0
1926,6090,- One of yours. - I don't have one that fits that gun.,anger,1,0,0,1,0,0,0,0
1927,6091,"You've got, like, five of them.",Neutral,0,0,0,0,0,0,0,0
1928,6093,Here's what I'm going to do.,Neutral,0,0,0,0,0,0,0,0
1929,6094,"Save my spot, ready?",anticipation,0,1,0,0,1,0,0,1
1930,6096,- What'd you see? - Too fast. Nothing.,Neutral,0,0,0,0,0,0,0,0
1931,6099,Here we go. (CLEARS THROAT),Neutral,0,0,0,0,0,0,0,0
1932,6101,(MEN GRUNTING),Neutral,0,0,0,0,0,0,0,0
1933,6104,"Three guys, one girl, all armed.",Neutral,0,0,0,0,0,0,0,0
1934,6116,"God, I would kill for some armour right now.",fear,0,1,0,2,1,1,0,1
1935,6118,"- You're right. We need backup. - Yeah, a bunch.",Neutral,0,0,0,0,0,0,0,0
1936,6121,You know what?,Neutral,0,0,0,0,0,0,0,0
1937,6126,(WHOOSHING) RHODEY: - Is that...,Neutral,0,0,0,0,0,0,0,0
1938,6128,Yep.,Neutral,0,0,0,0,0,0,0,0
1939,6129,- Are those... - Yeah.,Neutral,0,0,0,0,0,0,0,0
1940,6148,"Merry Christmas, buddy.",joy,0,1,0,0,2,0,0,1
1941,6154,"TONY: Jarvis, target EXTREMIS heat signatures.",Neutral,0,0,0,0,0,0,0,0
1942,6157,Disable with extreme prejudice.,anger,1,0,0,1,0,1,0,0
1943,6159,"JARVIS: (THROUGH ARMOURS) <i>Yes, sir.</i>",Neutral,0,0,0,0,0,0,0,0
1944,6164,What are you waiting for? It's Christmas.,anticipation,0,1,0,0,0,0,0,0
1945,6169,Take them to church.,anticipation,0,1,0,0,1,0,0,1
1946,6171,(SCREAMING),anger,1,0,1,1,0,0,1,0
1947,6177,JARVIS: <i>Gentlemen.</i>,Neutral,0,0,0,0,0,0,0,0
1948,6179,(GRUNTING) (SCREAMING),anger,1,0,1,1,0,0,1,0
1949,6182,(ALL GRUNTING),Neutral,0,0,0,0,0,0,0,0
1950,6185,(SCREAMS),anger,1,0,1,1,0,0,1,0
1951,6186,TONY: Incoming!,Neutral,0,0,0,0,0,0,0,0
1952,6191,"Jarvis, get Igor to steady this thing.",surprise,0,0,0,0,0,0,1,1
1953,6201,(MECHANISMS WHIRRING),Neutral,0,0,0,0,0,0,0,0
1954,6206,"This is how you've been managing your down time, huh?",anticipation,0,1,0,0,0,0,0,1
1955,6208,Everybody needs a hobby.,joy,0,0,0,0,1,0,0,0
1956,6216,"Heartbreaker, help Red Snapper out, will you?",Neutral,0,0,0,0,0,0,0,0
1957,6233,(GASPS),surprise,0,0,0,0,0,0,1,0
1958,6246,TONY: Nice timing.,anticipation,0,1,0,0,0,0,0,0
1959,6247,"Oh, yeah. That's awesome. Give me a suit, okay?",Neutral,0,0,0,0,0,0,0,0
1960,6251,"Oh, I'm sorry, they're only coded to me.",Neutral,0,0,0,0,0,0,0,0
1961,6253,What does that mean? I got you covered.,trust,0,0,0,0,0,0,0,1
1962,6258,"JARVIS: <i>Good evening, Colonel. Can I give you</i> a <i>lift?</i>",trust,0,0,0,0,0,0,0,1
1963,6261,Very funny.,Neutral,0,0,0,0,0,0,0,0
1964,6265,(GRUNTING),Neutral,0,0,0,0,0,0,0,0
1965,6270,(PANTING),Neutral,0,0,0,0,0,0,0,0
1966,6277,(BOTH SCREAM),anger,1,0,1,1,0,0,1,0
1967,6279,"JARVIS: <i>Sir, I've located Ms Potts.</i>",Neutral,0,0,0,0,0,0,0,0
1968,6281,About time.,anticipation,0,1,0,0,0,0,0,0
1969,6294,(GASPS) Stop! Put it down. Put it down. Put it down.,surprise,0,0,0,0,0,0,1,0
1970,6300,See what happens when you hang out with my ex-girlfriends?,anticipation,0,1,0,0,0,0,0,0
1971,6305,You're such a jerk.,anger,1,0,0,0,0,0,1,0
1972,6306,Yep. We'll talk about it over dinner.,Neutral,0,0,0,0,0,0,0,0
1973,6308,(METAL CREAKING) (SOBBING),sadness,0,0,0,0,0,1,0,0
1974,6310,"Come on. A little more, baby.",joy,0,0,0,0,1,0,0,0
1975,6315,(PEPPER STRAINING),Neutral,0,0,0,0,0,0,0,0
1976,6319,(TONY GRUNTING) - Oh!,Neutral,0,0,0,0,0,0,0,0
1977,6322,(GROANS),disgust,0,0,1,0,0,1,0,0
1978,6328,Is this guy bothering you?,Neutral,0,0,0,0,0,0,0,0
1979,6331,Don't get up.,Neutral,0,0,0,0,0,0,0,0
1980,6335,Ooh.,Neutral,0,0,0,0,0,0,0,0
1981,6337,Is it hot in there?,anger,1,0,0,0,0,0,0,0
1982,6338,(SIZZLING),anger,1,0,0,0,0,0,0,0
1983,6340,Stuck? Do you feel a little stuck?,Neutral,0,0,0,0,0,0,0,0
1984,6343,"Like a little turtle, cooking in his little turtle suit.",Neutral,0,0,0,0,0,0,0,0
1985,6346,"Oh, Tony.",Neutral,0,0,0,0,0,0,0,0
1986,6348,(GRUNTS) - She's watching.,anticipation,0,1,0,1,0,0,0,0
1987,6351,I think you should close your eyes.,Neutral,0,0,0,0,0,0,0,0
1988,6353,Close your eyes.,Neutral,0,0,0,0,0,0,0,0
1989,6355,Close your eyes. You don't want to see this.,Neutral,0,0,0,0,0,0,0,0
1990,6361,(GROANING),disgust,0,0,1,0,0,1,0,0
1991,6365,"- Yeah, you take a minute. (GROANS)",disgust,0,0,1,0,0,1,0,0
1992,6367,(SIZZLING) (METAL CREAKING),anger,1,0,0,0,0,0,0,0
1993,6369,(YELLING),anger,1,0,0,1,0,0,1,0
1994,6374,(SCREAMS),anger,1,0,1,1,0,0,1,0
1995,6380,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
1996,6383,(PEPPER WHIMPERING),fear,0,0,0,1,0,1,0,0
1997,6399,"Jarvis, give me a suit right now!",Neutral,0,0,0,0,0,0,0,0
1998,6401,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
1999,6412,"Oh, come on!",Neutral,0,0,0,0,0,0,0,0
2000,6415,"Mr President! Just hold on, all right? I'm coming.",trust,0,0,0,0,0,0,0,1
2001,6419,Just hold on. Hold on.,Neutral,0,0,0,0,0,0,0,0
2002,6423,(GRUNTING),Neutral,0,0,0,0,0,0,0,0
2003,6429,(GROANING),disgust,0,0,1,0,0,1,0,0
2004,6432,(GROWLING),anger,1,0,0,1,0,0,0,0
2005,6434,Okay.,Neutral,0,0,0,0,0,0,0,0
2006,6440,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
2007,6443,Bye-bye.,Neutral,0,0,0,0,0,0,0,0
2008,6446,(BOTH SCREAMING),anger,1,0,1,1,0,0,1,0
2009,6456,Brace yourself.,Neutral,0,0,0,0,0,0,0,0
2010,6459,(YELLING),anger,1,0,0,1,0,0,1,0
2011,6468,"You look damn good, Mr President,",trust,1,1,1,0,1,0,1,2
2012,6470,but I'm gonna need that suit back.,Neutral,0,0,0,0,0,0,0,0
2013,6476,(GASPING),surprise,0,0,0,0,0,0,1,0
2014,6478,(PANTING),Neutral,0,0,0,0,0,0,0,0
2015,6481,(YELLS),anger,1,0,0,1,0,0,1,0
2016,6483,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
2017,6486,"RHODEY: <i>The President is secure, Tony</i>",trust,0,0,0,0,0,0,0,1
2018,6487,<i>- I'm clearing the area.</i> - Nice work.,Neutral,0,0,0,0,0,0,0,0
2019,6489,"- Ready, sir? - What do you mean ""ready""?",anticipation,0,2,0,0,0,0,0,1
2020,6491,(SCREAMS),anger,1,0,1,1,0,0,1,0
2021,6497,(PEPPER WHIMPERING),fear,0,0,0,1,0,1,0,0
2022,6500,"TONY: Pep, I got you. Relax, I got you.",Neutral,0,0,0,0,0,0,0,0
2023,6502,(SCREAMS) - Just look at me!,anger,1,0,1,1,0,0,1,0
2024,6504,(PEPPER GROANS),disgust,0,0,1,0,0,1,0,0
2025,6506,"Honey, I can't reach any further and you can't stay there.",Neutral,0,0,0,0,0,0,0,0
2026,6508,All right? You've got to let go.,Neutral,0,0,0,0,0,0,0,0
2027,6510,"You've got to let go! I'll catch you, I promise.",anger,1,0,1,1,1,1,1,1
2028,6515,(YELLS) - No!,anger,1,0,0,1,0,0,1,0
2029,6517,(SCREAMING),anger,1,0,1,1,0,0,1,0
2030,6543,A shame. I would've caught her.,disgust,0,0,1,1,0,1,1,0
2031,6565,(BOTH GRUNTING),Neutral,0,0,0,0,0,0,0,0
2032,6571,(GROANS),disgust,0,0,1,0,0,1,0,0
2033,6576,(GRUNTS),Neutral,0,0,0,0,0,0,0,0
2034,6578,Eject.,Neutral,0,0,0,0,0,0,0,0
2035,6605,(GRUNTING),Neutral,0,0,0,0,0,0,0,0
2036,6622,(POWERING UP) (CRACKLING),Neutral,0,0,0,0,0,0,0,0
2037,6623,(GROANS),disgust,0,0,1,0,0,1,0,0
2038,6624,"Well, here we are on the roof.",Neutral,0,0,0,0,0,0,0,0
2039,6636,"JARVIS: <i>Mark 42, inbound.</i>",Neutral,0,0,0,0,0,0,0,0
2040,6638,I'll be damned. The prodigal son returns.,anger,2,0,2,1,0,1,0,0
2041,6657,Whatever.,Neutral,0,0,0,0,0,0,0,0
2042,6659,"You really didn't deserve her, Tony.",anger,1,1,0,0,0,0,0,1
2043,6662,It's a pity. I was so close to having her perfect.,anticipation,0,1,0,0,1,1,0,1
2044,6669,"Okay, okay, wait, wait, wait! Slow down! Slow down!",anticipation,0,3,0,0,0,0,0,0
2045,6671,You're right. I don't deserve her.,anger,1,1,0,0,0,0,0,1
2046,6675,Here's where you're wrong.,Neutral,0,0,0,0,0,0,0,0
2047,6677,She was already perfect.,anticipation,0,1,0,0,1,0,0,1
2048,6684,(STRAINING) (MECHANICAL CLANKING),Neutral,0,0,0,0,0,0,0,0
2049,6686,"Jarvis,",Neutral,0,0,0,0,0,0,0,0
2050,6689,do me a favour and blow Mark 42.,Neutral,0,0,0,0,0,0,0,0
2051,6691,No...,Neutral,0,0,0,0,0,0,0,0
2052,6700,(SCREAMING),anger,1,0,1,1,0,0,1,0
2053,6702,(GRUNTING),Neutral,0,0,0,0,0,0,0,0
